set_num,value
3530-1,15.18
3532-1,4.62
3536-1,41.4
3540-1,4.97
354-1,36.88
3541-1,5.06
3542-1,5.06
3543-1,5.06
3548-1,6.08
3570-1,177.08
3578-1,202.39
358-1,84.69
361-2,25.41
3635-1,28.49
3658-1,43.25
3670-1,110.86
3677-1,455.23
368-1,23.02
369-1,269.45
370-1,60.82
371-1,30.03
372-1,100.09
373-1,270.05
3731,31.12
3737,51.89
374-2,30.03
375-2,1896.14
375-3,46.19
377-1,131.17
3774-1,53.89
379-1,53.89
379-2,29.18
381-2,92.31
3816-1,92.39
3817-1,92.39
382-1,36.88
3825-1,138.58
3826-1,73.23
3828-1,615.92
3829-1,615.92
3831-1,224.86
3832-1,152.44
3833-1,220.79
384-1,42.34
3842-1,23.02
3843-1,38.58
3845-1,12.11
3850033-1,13.84
387-1,34.65
390-2,100.09
391405-1,6.2
391503-1,3.03
3920-1,44.27
3930-1,5.4
3931-1,6.51
3932-1,12.32
3933-1,14.63
3934-1,7.95
3935-1,16.59
3936-1,12.92
3937-1,15.4
3938-1,6.91
3939-1,11.89
394-1,385.79
395-1,207.87
6089762,57.96
6074709,145.92
4000016-1,214.24
4000019-1,227.68
4000028-1,31.71
4000029-1,29.03
4000030-1,38.07
40011-1,9.01
40012-1,6.88
40013-1,3.86
40017-1,23.1
6144139,242.17
4002016-1,432.08
4643319,15.18
40030-1,25.37
40032-1,15.2
40033-1,19.38
40034-1,9.94
40035-1,11.81
40037-1,12.02
40040-1,8.56
40049-1,15.38
4005-1,29.3
40052-1,19.03
40053-1,24.65
40056-1,25.86
40057-1,22.4
40058-1,24.75
40069-1,12.02
40072-1,11.93
40076-1,26.88
40077-1,10.5
40079-1,39.76
40086-1,11.47
40090-1,17.86
6062555,18.82
40093-1,33.87
40095-1,12.69
4010-1,21.56
40103-1,14.66
40105-1,24.64
40106-1,58.79
40107-1,24.11
6062063,33.73
40109-1,44.73
40112-1,15.42
40115-1,38.07
40118-1,35.53
40120-1,18.32
4012,21.5
40121-1,19.03
40123-1,26.95
40124-1,21.57
40125-1,25.95
40127-1,13.72
40128-1,7.41
40129-1,7.7
40130-1,7.41
40131-1,14.01
40132-1,8.8
40133-1,4.42
40134-1,7.72
40135-1,6.93
40136-1,12.1
40137-1,10.31
40138-1,27.7
40139-1,81.02
40140-1,23.02
40141-1,34.79
40142-1,29.77
40143-1,29.77
40144-1,44.75
40146-1,67.46
40148-1,38.16
40153-1,20.24
40155-1,25.38
6112764,35.61
40166-1,37.82
40171-1,30.64
40172-1,39.75
40176-1,11.63
6196441,15.11
40180-1,24.85
40181-1,40.79
40182-1,231.47
40183-1,46.28
40186-1,15.23
40188-1,29.3
40195-1,9.16
40196-1,12.32
40198-1,69.43
40199-1,152.77
40201-1,10.38
40202-1,6.57
40203-1,11.38
40205-1,23.15
40206-1,12.56
40207-1,173.84
40208-1,6.34
40210-1,9.25
4021-1,23.1
40214-1,5.69
40216-1,7.61
40217-1,6.05
40218-1,4.17
6137274,12.69
40220-1,11.55
40221-1,22.64
40222-1,21.02
40223-1,54.01
40227-1,90.85
4023-1,12.33
6141952,33.8
40235-1,18.94
40236-1,15.8
40237-1,13.87
40239-1,4.66
40241-1,6.26
40242-1,4.53
40244-1,7.52
40245-1,5.29
40246-1,6.34
40247-1,6.34
40248-1,7.7
40249-1,6.96
40251-1,20.6
40252-1,30.01
6175054,15.4
40254-1,38.58
40256-1,15.52
40260-1,24.69
40261-1,16.9
40262-1,18.46
40266-1,25.29
40267-1,6.34
40268-1,7.27
40271-1,10.03
40272-1,12.69
40273-1,15.17
40276-1,6.16
40277-1,8.8
40278-1,7.7
40279-1,5.08
40280-1,5.08
40281-1,6.33
40282-1,6.16
40283-1,7.7
40284-1,6.16
40285-1,11.02
40286-1,7.7
40287-1,10.79
40288-1,19.88
40291-1,30.86
6215188,39.09
40293-1,40.37
40298-1,4.83
40299-1,14.69
40300-1,7.62
4030-1,132.42
40302-1,7.08
40304-1,3.86
40307-1,6.3
40308-1,12.32
40309-1,5.96
40310-1,5.96
40311-1,8.85
40313-1,5.96
40314-1,18.52
40318-1,115.74
40320-1,30.8
6251894,6.2
40322-1,10.26
40323-1,9.85
40325-1,5.89
40326-1,9.85
40327-1,9.09
40329-1,10.59
40330-1,9.85
40331-1,9.09
40332-1,9.88
40333-1,39.76
40334-1,38.11
40335-1,30.78
40336-1,23.13
40337-1,41.6
40338-1,101.07
40341-1,5.96
40342-1,24.91
40343-1,20.41
40345-1,16.97
40347-1,38.89
40348-1,18.0
40349-1,16.2
40350-1,7.78
40351-1,24.95
40352-1,20.95
40354-1,23.08
40355-1,13.89
40357-1,30.72
40358-1,21.57
40359-1,33.26
40361-1,24.85
40367-1,18.97
40371-1,7.53
40375-1,7.56
40376-1,7.49
40377-1,18.86
40379-1,20.79
40380-1,14.33
40381-1,19.75
6292461,24.95
40384-1,22.36
40385-1,15.01
40386-1,35.26
40388-1,19.01
4039-1,23.15
40391-1,35.26
40393-1,38.15
40396-1,12.15
40398-1,13.25
40399-1,10.21
40401-1,12.01
40402-1,9.16
40403-1,13.72
40407-1,24.49
40408-1,12.3
40409-1,18.91
40410-1,44.64
40411-1,10.77
40413-1,12.68
40416-1,37.82
40422-1,16.9
40423-1,23.08
40424-1,26.02
40425-1,20.69
40426-1,69.57
40428-1,35.26
40429-1,75.77
40431-1,35.26
40433-1,189.74
40434-1,7.72
40436-1,17.89
40440-1,34.78
40448-1,29.82
40466-1,37.95
40474-1,13.53
4053-1,15.38
4058-1,38.58
4059-1,54.01
4060-1,38.58
4061-1,19.29
4062-1,46.29
4065-1,54.01
4066-1,38.58
4067-1,11.57
4079-1,46.29
4095-1,101.45
4096-1,18.48
4097-1,58.19
4099-1,44.73
41000-1,5.38
4100-1,83.03
41001-1,8.29
41003-1,10.78
41004-1,19.25
41005-1,43.01
41006-1,54.01
41007-1,29.82
41008-1,31.14
41009-1,13.86
41010-1,10.78
4101-1,141.18
41011-1,8.29
41013-1,9.65
41015-1,73.46
41016-1,30.8
41017-1,6.93
41018-1,5.32
41019-1,12.3
41020-1,4.47
41021-1,8.63
6025143,8.63
41024-1,8.15
41026-1,23.1
41027-1,11.19
41028-1,9.77
41029-1,20.06
41030-1,11.77
41031-1,12.32
41032-1,11.07
41033-1,21.62
41034-1,26.18
6059302,30.8
41036-1,32.0
41037-1,33.64
41038-1,44.73
41039-1,88.55
41041-1,7.72
41042-1,12.3
41043-1,12.3
41044-1,10.14
41045-1,12.3
41046-1,12.3
41047-1,5.0
41048-1,10.36
41049-1,12.3
41051-1,49.7
41052-1,29.18
41053-1,30.86
41056-1,16.43
41057-1,55.55
41058-1,87.28
41060-1,17.0
41061-1,46.28
41062-1,76.12
41063-1,240.33
41065-1,28.0
41068-1,50.58
41069-1,25.29
41071-1,18.5
41072-1,113.83
41073-1,61.71
41074-1,36.8
41075-1,69.29
41076-1,16.94
41077-1,77.14
41078-1,230.97
41085-1,33.87
41086-1,10.0
41087-1,15.38
41088-1,6.03
41089-1,7.61
41090-1,10.7
41091-1,13.66
41092-1,16.62
41093-1,22.49
41094-1,34.15
41095-1,161.68
41097-1,25.46
41098-1,16.43
41099-1,15.0
41103-1,15.4
41104-1,50.6
41105-1,50.6
41106-1,59.63
41107-1,25.95
41108-1,60.54
41109-1,127.31
41110-1,53.88
41111-1,8.44
41112-1,6.31
41113-1,8.47
41114-1,5.19
41115-1,9.0
6135781,20.0
41119-1,37.81
6135836,12.3
41122-1,171.15
41123-1,10.72
41124-1,103.79
41126-1,7.61
41127-1,13.84
41128-1,19.25
41129-1,21.63
41130-1,100.31
41135-1,233.0
41140-1,21.41
41143-1,9.24
41144-1,12.33
41146-1,101.07
41148-1,92.57
41149-1,24.0
41151-1,19.91
41153-1,69.43
41154-1,202.26
41155-1,33.73
41156-1,38.58
41157-1,49.49
41158-1,13.87
41159-1,33.95
41162-1,104.92
41165-1,37.94
41169-1,14.66
41172-1,153.95
41173-1,75.45
41174-1,120.0
41175-1,92.57
41176-1,169.38
41178-1,146.28
41182-1,35.17
41183-1,89.45
41185-1,106.48
