set_num,rrp,current_value,growth,annual_growth
10850-1,4.99,8.1,0.20199999999999999,0.061
10851-1,4.99,31.25,3.639,0.324
10852-1,4.99,7.97,0.182,0.048
10853-1,53.99,154.17,1.8559999999999999,0.255
10854-1,69.99,74.24,,
10855-1,39.99,140.97,1.984,0.258
10856-1,24.99,51.57,0.9109999999999999,0.21600000000000003
10857-1,29.99,66.78,0.65,0.287
10858-1,12.99,23.1,0.713,0.22699999999999998
10859-1,4.99,16.59,1.463,0.21100000000000002
10860-1,4.99,8.07,0.198,0.115
1086-1,20.24,29.69,0.467,0.019
10861-1,24.99,27.01,0.001,0.027000000000000003
10862-1,18.99,22.98,0.135,0.078
10863-1,34.99,40.49,,
10864-1,64.99,122.51,0.815,0.248
10865-1,39.99,87.76,1.168,0.292
10867-1,24.99,33.06,0.225,0.237
10868-1,39.99,49.65,0.226,0.23600000000000002
10869-1,79.99,307.61,2.798,0.34299999999999997
10870-1,12.99,13.49,,
10871-1,29.99,,,
10872-1,29.99,,,
10873-1,24.99,,,
10874-1,79.99,,,
10875-1,149.99,,,
10876-1,39.99,72.39,0.7879999999999999,0.252
10877-1,24.99,40.46,0.499,0.257
10878-1,39.99,141.75,2.501,0.33399999999999996
10879-1,24.99,52.41,0.9420000000000001,0.29100000000000004
10880-1,39.99,63.98,0.58,0.254
1088-1,3.36,12.19,2.627,0.08900000000000001
10881-1,39.99,40.96,0.012,0.012
10882-1,24.99,,,
10883-1,13.99,,,
10884-1,19.99,,,
10885-1,24.99,37.67,0.396,0.239
10886-1,24.99,,,
10887-1,49.99,,,
10889-1,59.99,,,
1089-1,,,,
10893-1,24.99,41.84,0.55,0.256
10894-1,24.99,,,
10895-1,34.99,41.3,0.02,0.026000000000000002
10897-1,13.99,,,
10898-1,13.99,16.29,0.20800000000000002,0.078
10899-1,59.99,,,
10900-1,13.99,,,
1090-1,188.99,274.82,0.45399999999999996,0.011000000000000001
10901-1,24.99,,,
10902-1,34.99,,,
10903-1,69.99,,,
10904-1,13.99,,,
10906-1,69.99,,,
10907-1,139.99,,,
10908-1,13.99,,,
10909-1,24.99,,,
10910-1,26.99,,,
10913-1,39.99,,,
10914-1,69.99,,,
10915-1,34.99,,,
10917-1,9.99,,,
10918-1,9.99,,,
10919-1,39.99,,,
10920-1,29.99,,,
