,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
8173,6363-1,Auto Repair Shop,Breakdown Unit,Normal,Modern day,Town,Shops and Services,1980,View tags »BaseplateService StationService VehicleTow Truck ,141,,"
New: ~CA$318
Used: ~CA$37
",,,Box,,Retail,,✭✭✭✭✩ 4.0 49 ratings 6 Reviews,1,,,,,
8174,6364-1,Paramedic Unit,Medical Centre,Normal,Modern day,Town,Medical,1980,View tags »AmbulanceBaseplateConvertibleHospitalMedical ,137,,"
New: ~CA$345
Used: ~CA$39
",,,Box,,Retail,Random set of the day on 24 Jul 2020,✭✭✭✭✩ 4.1 43 ratings 5 Reviews,2,,,,,
8175,6365-1,Summer Cottage,Cottage,Normal,Modern day,Town,Leisure,1981,View tags »BaseplateBedroomHouseKitchen ,144,,"
New: ~CA$352
Used: ~CA$48
",,,Box,,Retail,Random set of the day on 06 Dec 2018,✭✭✭✭✭ 4.3 40 ratings 6 Reviews,1,,,,,
8176,6366-1,Fire & Rescue Squad,Fire Brigade,Normal,Modern day,Town,Fire,1984,View tags »FireFire TruckMotorcyclePickup TruckTruck ,112,,"
New: ~CA$289
Used: ~CA$54
",,,Box,,Retail,Random set of the day on 26 Nov 2018,✭✭✭✭✩ 3.9 28 ratings 4 Reviews,3,,,,,
8177,6367-1,Semi Truck,Interstate Freightliner,Normal,Modern day,Town,Vehicles,1984,View tags »Articulated LorryTrailerTruck ,155,,"
New: ~CA$383
Used: ~CA$46
",,,Box,,Retail,,✭✭✭✭✭ 4.3 27 ratings 1 Review,1,,,,,
8178,6368-1,Jet Airliner,Commuter Jet,Normal,Modern day,Town,Flight,1985,View tags »AircraftAirplaneJet Aircraft ,136,$12.75,"
New: ~CA$390
Used: ~CA$34
",9.4c,,Box,,Retail,Random set of the day on 02 Nov 2019,✭✭✭✭✩ 4.2 84 ratings 8 Reviews,2,,,,,
8179,6369-1,Auto Workshop,Garage,Normal,Modern day,Town,Shops and Services,1985,View tags »BaseplateCarCross PromotionService StationShellWorkshop ,134,,"
New: ~CA$505
Used: ~CA$43
",,,Box,,Retail,Random set of the day on 24 Jan 2020,✭✭✭✭✭ 4.4 45 ratings 6 Reviews,1,,,,,
8180,6370-1,Weekend Home,House,Normal,Modern day,Town,Leisure,1985,View tags »BaseplateBbqBedroomBicycleHouseKitchenLamppost ,173,,"
New: ~CA$381
Used: ~CA$71
",,,Box,,Retail,,✭✭✭✭✭ 4.3 30 ratings 4 Reviews,2,,, Steen Sig Andersen ,,
8181,637-1,Play Table,,Normal,Basic,Basic,Supplementaries,1996,View tags »,3,$45.00,"
New: 
Used:
",1500.0c,,,,,"Red, yellow and green building table suitable for DUPLO and LEGO System building.",Not yet rated,,,,,,
8182,6371-1,Shell Service Station,Service Station,Normal,Modern day,Town,Shops and Services,1983,View tags »CarCross PromotionMotorcyclePedestrian CrossingRoad BaseplateService StationService VehicleShellShopTow Truck ,261,,"
New: ~CA$832
Used: ~CA$107
",,,Box,,Retail,Random set of the day on 30 May 2019,✭✭✭✭✩ 4.2 40 ratings 2 Reviews,3,,,,,
8183,6372-1,Town House,Villa,Normal,Modern day,Town,Leisure,1982,View tags »BaseplateBbqBedroomHouseKitchen ,217,,"
New: ~CA$439
Used: ~CA$76
",,,Box,,Retail,,✭✭✭✭✩ 4.2 48 ratings 4 Reviews,2,,, Steen Sig Andersen ,,
8184,6373-1,Motorcycle Shop,The Bike Shop,Normal,Modern day,Town,Shops and Services,1984,View tags »BaseplateMotorcycleService StationShopSidecar ,171,$17.50,"
New: ~CA$1333
Used: ~CA$65
",10.2c,,Box,,Retail,,✭✭✭✭✩ 4.1 64 ratings 7 Reviews,2,,,,,
8185,6374-1,Holiday Home,Holiday Home,Normal,Modern day,Town,Leisure,1983,View tags »BbqBedroomCarHouseKitchenRoad Baseplate ,257,,"
New: 
Used: ~CA$111
",,,Box,,Retail,Random set of the day on 11 May 2019,✭✭✭✭✭ 4.5 54 ratings 3 Reviews,2,,EAN: 5702010963744, Steen Sig Andersen ,,
8186,6375-1,Trans Air Carrier,Cargo Plane,Normal,Modern day,Town,Flight,1990,View tags »AircraftAirplaneAirportCargoForkliftJet Aircraft ,208,,"
New: ~CA$364
Used: ~CA$47
",,,Box,,Retail,,✭✭✭✭✭ 4.3 83 ratings 5 Reviews,2,,,,,
8187,6375-2,Exxon Gas Station,,Normal,Modern day,Town,Shops and Services,1980,View tags »CarExxonPedestrian CrossingRoad BaseplateService StationShop ,267,$20.00,"
New: 
Used: ~CA$257
",7.5c,,Box,,Retail - limited,NA only.Random set of the day on 25 Mar 2019,✭✭✭✭✭ 4.6 17 ratings 5 Reviews,3,,,,,
